source_row_zero_based,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
16026,0HOrX3f1vhUpn5hknKAM9W,Johann Sebastian Bach;Gundula Janowitz;Christa Ludwig;Fritz Wunderlich;Münchener Bach-Orchester;Karl Richter,Classical Christmas 2022,"Christmas Oratorio, BWV 248 / Pt. 5 - For the 1st Sunday in the New Year: No. 51 Terzetto: ""Ach, wann wird die Zeit erscheinen?""",0,320173,False,0.343,0.243,11,-15.404,0,0.0578,0.943,0.0,0.532,0.417,73.48,4,classical
16031,0o30XkI520zpdZIeSRaSXr,Johann Sebastian Bach;Orion Weiss,Yarlung Records: Fifteen Years,"Overture in the French Style, Op. 2, BWV 831 (Excerpts): XI. Echo",0,176963,False,0.522,0.215,11,-21.148,0,0.0655,0.992,0.912,0.0971,0.934,103.767,4,classical
16041,1gHJ8Y9xdcOPfg5tyBIL40,Johann Sebastian Bach;Lang Lang,Weihnachten Klassik 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
16049,3hyLdoIjuv5JV0MyE4GQkg,Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler,Weihnachten Klassik 2022,"Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring",0,204666,False,0.138,0.173,7,-17.603,1,0.0371,0.955,0.928,0.161,0.159,100.657,4,classical
16054,4gj2XS6vLhDBuiduScHjRX,Johann Sebastian Bach;RIMA,Early Morning Classic,Bach : The Well-Tempered Clavier Book I. Fugue No.2,1,93340,False,0.372,0.0413,0,-31.531,0,0.0339,0.995,0.845,0.129,0.445,170.196,3,classical
16061,0KMayG55Y3QCYK2Yxq7qj7,Ludwig van Beethoven;Murray Perahia,Clásica para los niños de hoy,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",0,316440,False,0.146,0.00241,1,-40.843,0,0.0434,0.995,0.945,0.113,0.0973,166.462,3,classical
16066,5Wr9eVJ9Ccpx6uYTLETkbk,Ludwig van Beethoven;Wiener Philharmoniker;Andris Nelsons,Classical Running,"Symphony No. 6 in F Major, Op. 68 ""Pastoral"": III. Lustiges Zusammensein der Landleute. Allegro",0,308240,False,0.283,0.139,5,-18.546,1,0.0476,0.931,0.841,0.54,0.334,158.524,1,classical
16068,0MtRspmmNTRJa4Ebd2AMuN,Johann Sebastian Bach;Lang Lang,Classical Christmas 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
16081,0o30XkI520zpdZIeSRaSXr,Johann Sebastian Bach;Orion Weiss,Yarlung Records: Fifteen Years,"Overture in the French Style, Op. 2, BWV 831 (Excerpts): XI. Echo",0,176963,False,0.522,0.215,11,-21.148,0,0.0655,0.992,0.912,0.0971,0.934,103.767,4,classical
16082,0HOrX3f1vhUpn5hknKAM9W,Johann Sebastian Bach;Gundula Janowitz;Christa Ludwig;Fritz Wunderlich;Münchener Bach-Orchester;Karl Richter,Classical Christmas 2022,"Christmas Oratorio, BWV 248 / Pt. 5 - For the 1st Sunday in the New Year: No. 51 Terzetto: ""Ach, wann wird die Zeit erscheinen?""",0,320173,False,0.343,0.243,11,-15.404,0,0.0578,0.943,0.0,0.532,0.417,73.48,4,classical
16087,1gHJ8Y9xdcOPfg5tyBIL40,Johann Sebastian Bach;Lang Lang,Weihnachten Klassik 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
16098,3hyLdoIjuv5JV0MyE4GQkg,Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler,Weihnachten Klassik 2022,"Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring",0,204666,False,0.138,0.173,7,-17.603,1,0.0371,0.955,0.928,0.161,0.159,100.657,4,classical
16130,0KMayG55Y3QCYK2Yxq7qj7,Ludwig van Beethoven;Murray Perahia,Clásica para los niños de hoy,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",0,316440,False,0.146,0.00241,1,-40.843,0,0.0434,0.995,0.945,0.113,0.0973,166.462,3,classical
16131,5Wr9eVJ9Ccpx6uYTLETkbk,Ludwig van Beethoven;Wiener Philharmoniker;Andris Nelsons,Classical Running,"Symphony No. 6 in F Major, Op. 68 ""Pastoral"": III. Lustiges Zusammensein der Landleute. Allegro",0,308240,False,0.283,0.139,5,-18.546,1,0.0476,0.931,0.841,0.54,0.334,158.524,1,classical
16147,1APMLD7JwHPdiWFObXKqXP,Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Mstislav Rostropovich,Classical Christmas,"The Nutcracker (Suite), Op. 71a, TH. 35: IIf. Dance of the Reed-Pipes (Mirlitons)",0,155000,False,0.45,0.0485,2,-31.079,1,0.038,0.972,0.911,0.172,0.316,126.978,4,classical
16161,4yp2yp607NbAqmpvtvk5Bp,Yiruma,Christmas Dinner,Maybe Christmas - Orchestra Version,0,303297,False,0.105,0.154,1,-14.355,1,0.0334,0.946,0.895,0.0683,0.0756,71.0,4,classical
16191,1APMLD7JwHPdiWFObXKqXP,Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Mstislav Rostropovich,Classical Christmas,"The Nutcracker (Suite), Op. 71a, TH. 35: IIf. Dance of the Reed-Pipes (Mirlitons)",0,155000,False,0.45,0.0485,2,-31.079,1,0.038,0.972,0.911,0.172,0.316,126.978,4,classical
16203,4yp2yp607NbAqmpvtvk5Bp,Yiruma,Christmas Dinner,Maybe Christmas - Orchestra Version,0,303297,False,0.105,0.154,1,-14.355,1,0.0334,0.946,0.895,0.0683,0.0756,71.0,4,classical
16217,6XjBNMzl25wEBebNMdPMGg,Edvard Grieg;Una Bourne,"Mozart, Liszt & Others: Piano Works","Lyric Pieces I, Op. 12 (Excerpts): No. 2, Vals",0,88506,False,0.419,0.213,9,-23.095,1,0.0357,0.961,0.899,0.237,0.36,97.708,3,classical
16221,4oE62AqzUuiwV09HGxiMlu,Edvard Grieg;Una Bourne,"Mozart, Liszt & Others: Piano Works","Lyric Pieces I, Op. 12 (Excerpts): No. 6, Norsk",0,42306,False,0.345,0.236,2,-21.922,1,0.0401,0.989,0.952,0.228,0.38,135.677,4,classical
16223,5Ib5W64RwrPCN3bnRO4C2W,Edvard Grieg;Una Bourne,"Mozart, Liszt & Others: Piano Works","Lyric Pieces I, Op. 12 (Excerpts): No. 5, Folkevise",0,59653,False,0.376,0.129,6,-23.677,0,0.0397,0.993,0.899,0.142,0.561,56.596,4,classical
16236,6m3hSSDwLUUsXEf6aPtH1m,Edvard Grieg;Una Bourne,"Mozart, Liszt & Others: Piano Works","Lyric Pieces VIII, Op. 65: No. 6, Bryllupsdag på Troldhaugen",0,255933,False,0.331,0.23,2,-21.548,1,0.0356,0.978,0.88,0.359,0.189,82.51,3,classical
16241,2tF07mtTCrO5bmw1xv2vzG,Edvard Grieg;Academy of St. Martin in the Fields;Sir Neville Marriner,Classical Running,"Holberg Suite, Op. 40: 1. Präludium (Allegro vivace)",0,165000,False,0.23,0.144,7,-21.34,1,0.0408,0.94,0.869,0.395,0.229,142.163,4,classical
16263,6XjBNMzl25wEBebNMdPMGg,Edvard Grieg;Una Bourne,"Mozart, Liszt & Others: Piano Works","Lyric Pieces I, Op. 12 (Excerpts): No. 2, Vals",0,88506,False,0.419,0.213,9,-23.095,1,0.0357,0.961,0.899,0.237,0.36,97.708,3,classical
16269,4k1gofu5MHXtsbqfikEzVq,Sergei Rachmaninoff;Marko Stuparevic,Recreation: Russian Piano Sonatas,"Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato",0,505663,False,0.316,0.108,1,-20.37,1,0.0416,0.994,0.898,0.0957,0.0615,84.996,4,classical
16271,4oE62AqzUuiwV09HGxiMlu,Edvard Grieg;Una Bourne,"Mozart, Liszt & Others: Piano Works","Lyric Pieces I, Op. 12 (Excerpts): No. 6, Norsk",0,42306,False,0.345,0.236,2,-21.922,1,0.0401,0.989,0.952,0.228,0.38,135.677,4,classical
16274,26Dme5GkC1yX4P2QU9V6Sk,Sergei Rachmaninoff;Talistrio,"Casella, Rachmaninoff & Yamada: Chamber Works","Trio élégiaque No. 2 in D Minor, Op. 9: I. Moderato - Allegro vivace",0,1371693,False,0.175,0.0869,2,-20.248,0,0.0427,0.955,0.251,0.0783,0.0345,78.113,4,classical
16276,5Ib5W64RwrPCN3bnRO4C2W,Edvard Grieg;Una Bourne,"Mozart, Liszt & Others: Piano Works","Lyric Pieces I, Op. 12 (Excerpts): No. 5, Folkevise",0,59653,False,0.376,0.129,6,-23.677,0,0.0397,0.993,0.899,0.142,0.561,56.596,4,classical
16286,6m3hSSDwLUUsXEf6aPtH1m,Edvard Grieg;Una Bourne,"Mozart, Liszt & Others: Piano Works","Lyric Pieces VIII, Op. 65: No. 6, Bryllupsdag på Troldhaugen",0,255933,False,0.331,0.23,2,-21.548,1,0.0356,0.978,0.88,0.359,0.189,82.51,3,classical
16290,2tF07mtTCrO5bmw1xv2vzG,Edvard Grieg;Academy of St. Martin in the Fields;Sir Neville Marriner,Classical Running,"Holberg Suite, Op. 40: 1. Präludium (Allegro vivace)",0,165000,False,0.23,0.144,7,-21.34,1,0.0408,0.94,0.869,0.395,0.229,142.163,4,classical
16344,4k1gofu5MHXtsbqfikEzVq,Sergei Rachmaninoff;Marko Stuparevic,Recreation: Russian Piano Sonatas,"Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato",0,505663,False,0.316,0.108,1,-20.37,1,0.0416,0.994,0.898,0.0957,0.0615,84.996,4,classical
16345,26Dme5GkC1yX4P2QU9V6Sk,Sergei Rachmaninoff;Talistrio,"Casella, Rachmaninoff & Yamada: Chamber Works","Trio élégiaque No. 2 in D Minor, Op. 9: I. Moderato - Allegro vivace",0,1371693,False,0.175,0.0869,2,-20.248,0,0.0427,0.955,0.251,0.0783,0.0345,78.113,4,classical
16565,7vwrBZ68Puc9ZJaXRcnHRs,Bhimsen Joshi,Jeevan Gane Pandit Bhimsen Joshi,Aata Kothe Dhave Man,29,360386,False,0.41,0.245,2,-17.29,1,0.0318,0.957,0.0,0.0793,0.585,102.378,4,classical
16612,7vwrBZ68Puc9ZJaXRcnHRs,Bhimsen Joshi,Jeevan Gane Pandit Bhimsen Joshi,Aata Kothe Dhave Man,29,360386,False,0.41,0.245,2,-17.29,1,0.0318,0.957,0.0,0.0793,0.585,102.378,4,classical
16700,0RPOy0HWyY3bLm40pm3T8s,Wolfgang Amadeus Mozart;Daniel Barenboim;Berliner Philharmoniker,Mozart: Piano Concertos Nos. 20 & 22,"Mozart: Piano Concerto No. 20 in D Minor, K. 466: III. Allegro assai",24,417666,False,0.356,0.159,2,-20.231,0,0.0379,0.984,0.943,0.151,0.229,71.779,4,classical
16701,3bURbpWSxXGl1R741ekg07,Wolfgang Amadeus Mozart;Mao Fujita,Mozart: The Complete Piano Sonatas,"Piano Sonata No. 3 in B-Flat Major, K. 281: II. Andante amoroso",16,313866,False,0.4,0.0334,3,-26.333,1,0.0502,0.993,0.938,0.11,0.367,94.362,3,classical
16702,04iTE6hn0yvbWHJXkIfLyy,Wolfgang Amadeus Mozart;Ingrid Haebler;Wiener Symphoniker;Christoph von Dohnányi,"Mozart: Piano Concertos Nos. 12, 18 & 19","Piano Concerto No. 18 in B-Flat Major, K. 456: II. Andante un poco sostenuto",7,693666,False,0.21,0.0975,7,-21.648,0,0.0342,0.973,0.879,0.5,0.0832,84.993,4,classical
16703,5VOJiy4ZseTafrksLPCxim,Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Sir Colin Davis,Mozart: Piano Concertos Nos. 14-21,"Piano Concerto No. 15 in B-Flat Major, K. 450: II. (Andante)",5,362640,False,0.17,0.045,3,-26.573,1,0.0418,0.99,0.923,0.15,0.0788,56.768,4,classical
16704,6T1t7fOMfVuVpWSe2Z4Pp9,Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Sir Colin Davis,Mozart: Piano Concertos Nos. 26 & 27; Rondo in A Major,"Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": II. (Larghetto)",3,410066,False,0.302,0.019,9,-26.351,1,0.0361,0.992,0.915,0.17,0.194,70.075,4,classical
16705,7mOGLFitvkIyK6xix2xo1m,Wolfgang Amadeus Mozart;Ingrid Haebler;Ludwig Hoffmann,Mozart: Complete Variations for Piano,"Sonata for Piano 4 Hands in C Major, K. 19d: III. Rondo (Allegretto)",2,225293,False,0.457,0.0888,0,-24.985,1,0.051,0.992,0.917,0.131,0.391,125.826,4,classical
16706,4JvzS5bLyxDizlP1OTS8EV,Wolfgang Amadeus Mozart;Hilary Hahn;Natalie Zhu,Mozart - A Classical Dawn,"Sonata for Piano and Violin in E Minor, K. 304: II. Tempo di minuetto",3,337586,False,0.347,0.118,4,-21.192,0,0.0416,0.967,0.0612,0.118,0.257,125.78,4,classical
16707,3MpoUs3BBbuxwbnmHIxOJv,Wolfgang Amadeus Mozart;Mitsuko Uchida;Cleveland Orchestra,Mozart: A Night of Classics,"Piano Concerto No. 27 in B-Flat Major, K. 595: 2. Larghetto - Live",7,452706,False,0.18,0.0115,3,-30.172,1,0.0399,0.987,0.851,0.0991,0.0861,70.428,4,classical
16708,5R02WO5PUrHxynXWfheAqN,Wolfgang Amadeus Mozart;Danielle Laval,Mozart: A Night of Classics,"12 Variations on an Allegretto in B Flat, K.500: 6. Variation V",24,45532,False,0.637,0.022,3,-26.353,1,0.0525,0.995,0.909,0.126,0.193,89.78,4,classical
16709,22mK3JHgM6ATUkfI7BHemg,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"9 Variations on a Minuet by J.P. Duport in D, K.573: 3. Variation II",5,62280,False,0.277,0.177,2,-19.688,1,0.0348,0.974,0.981,0.228,0.85,142.908,3,classical
16710,1lOhnZV1VVicEMHDEsUXVQ,Wolfgang Amadeus Mozart;Erik Smith,Mozart - Inspiring Classics,"Minuet in F, K.1d",3,79360,False,0.478,0.185,5,-16.501,1,0.037,0.693,0.907,0.0665,0.941,103.495,3,classical
16712,0gBtRrMYlHoToeVB3cstKs,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"12 Variations on an Allegretto in B Flat, K.500: 8. Variation VII",4,65536,False,0.601,0.0588,10,-27.72,0,0.0747,0.995,0.916,0.0899,0.354,125.689,4,classical
16713,38znqxzVreO8WnoEkBIAJI,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,Mozart - Inspiring Classics,"Symphony No. 22 in C, K.162: 3. Presto assai",1,98506,False,0.494,0.216,0,-17.779,1,0.0452,0.966,0.921,0.115,0.641,76.432,3,classical
16714,3vFLZOEIM1SxKWPvCCKqvg,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 7. Variation VI",4,64492,False,0.326,0.218,0,-19.854,1,0.0345,0.992,0.937,0.178,0.444,142.723,5,classical
16715,4lvfOnCUxyT3aKKamZ3WXu,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"12 Variations in C Major on ""Ah, vous dirai-je Maman"", K. 265: 11. Variation X",6,41893,False,0.212,0.221,0,-20.543,1,0.0454,0.98,0.96,0.149,0.425,148.759,5,classical
16716,4gvMjEAFf64RJC2XH9j3Ls,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 2. Variation I",3,71560,False,0.272,0.142,0,-22.839,1,0.0337,0.982,0.975,0.188,0.561,63.218,4,classical
16717,73tHDm0hBREbIJU4NrbGKy,Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,Mozart: A Night of Classics,"Sonata for Piano and Violin in E flat, K.481: 3f. Variation 5",10,75986,False,0.336,0.155,0,-20.784,0,0.0399,0.99,0.791,0.153,0.871,166.114,3,classical
16718,1NoDZgAwhDmLXBdfxaFPVM,Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,Mozart: A Night of Classics,"Sonata for Piano and Violin in A, K.305: 2e. Variation 4",12,68733,False,0.398,0.113,9,-22.607,1,0.0561,0.973,0.132,0.174,0.369,58.878,4,classical
16719,7zo05whm8LBnnt1dG979ov,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,Mozart - A Classical Dawn,"Six German Dances, K.571: No. 5 in B Flat Major",3,92000,False,0.539,0.158,10,-15.544,1,0.0356,0.976,0.498,0.151,0.685,88.18,3,classical
