source_row_zero_based,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,review_reasons
16358,5Aip1LXVUdwm0rozu2b5gx,Soolamangalam Sisters,Kandha Sasti Kavasam,Kandha Sasti Kavasam,38,1315200,False,0.618,0.775,5,-10.07,1,0.0553,0.768,1.14e-06,0.282,0.857,122.178,4,classical,duration_over_20_minutes_review
16417,6kD6phIifemWdUZmmsFP6Q,M. S. Subbulakshmi;T. K. Murthy;V.V.Subramaniam,Sri Venkatesa Suprabhatham,Sri Venkatesa Suprabhatam,35,1229253,False,0.657,0.301,7,-12.549,1,0.766,0.949,0.0,0.28,0.794,100.971,4,classical,duration_over_20_minutes_review
16519,5CMZgcNJX42RykPkdkdGNO,Rattan Mohan Sharma,Ram Dhun,Ram Ram Jai Raja Ram Ram Ram Jai Sita Ram,32,2544561,False,0.645,0.638,1,-8.024,1,0.0349,0.695,0.0,0.0684,0.766,148.153,4,classical,duration_over_20_minutes_review
16611,3qCQ48b1Z7MK0jEmYqS9vr,Pandit Jasraj,Gayatri Mantra,Chanting of the Gayatri Mantra 108 Times,33,2646866,False,0.183,0.274,1,-14.184,1,0.0346,0.95,0.00202,0.0629,0.259,103.624,3,classical,duration_over_20_minutes_review
21822,6jNCeo2QjxhhcK9luJUrIN,Buju Banton;Garnett Silk;Sanchez;Tony Rebel;Richie Stephens;Marcia Griffiths;Mad Cobra;General Degree;Nana Mclean;Jack Radics;Terry Ganzie;Thrilla U;Kultra Knox;Dean Fraser,Reggae Dancehall Riddim: Nanny Goat,Reggae Dancehall Riddim: Nanny Goat,27,2308806,False,0.857,0.626,4,-5.906,1,0.159,0.0833,0.0,0.0566,0.78,84.993,4,dancehall,duration_over_20_minutes_review
24348,6wypxnAvmv5zYewUX3VFDd,Seth Troxler,Seth Troxler - The Lab 03,The Lab 03 - Continuous DJ Mix Part 1,8,4730302,False,0.684,0.656,5,-11.163,0,0.0633,0.0191,0.848,0.103,0.301,123.18,4,detroit-techno,duration_over_20_minutes_review
24747,0nfqrZDDv09LW2U6KexnAg,Kevin Saunderson,History Elevate Remixed,Kevin Saunderson History Elevate - Continuous Mix,5,3676760,False,0.715,0.901,10,-6.449,0,0.0497,0.00437,0.786,0.0596,0.304,130.008,4,detroit-techno,duration_over_20_minutes_review
25798,1PcyypJ70gm6CxTKQvCQiX,Michael Wendler,Der ultimative Wendler Hitmix,Der ultimative Wendler Hitmix XL,30,2959346,False,0.608,0.919,10,-4.071,1,0.036,0.05,5.11e-05,0.139,0.727,130.559,4,disco,duration_over_20_minutes_review
26910,7HSc2wpHlXKIl8SCZK7zsP,Benny Martin,Here Comes the Sun (Piano Instrumental),Here Comes the Sun (Piano Instrumental),18,203705,False,0.329,0.0607,9,-28.31,1,0.0507,0.994,0.88,0.0858,0.421,93.948,0,disney,time_signature_zero_review
27926,6eTDnsdPlRUyrTHqFj3l7W,Lenzman;Dan Stezo,NQ State of Mind,"NQ State of Mind, Vol. 1 - Continuous DJ Mix",15,4246206,True,0.593,0.924,1,-3.979,1,0.0899,0.00369,0.0221,0.534,0.242,173.938,4,drum-and-bass,duration_over_20_minutes_review
28978,3EEJ63VT1FN3sQod8vd4e8,Dirt Monkey,(RE)EVOLUTION VOL. 2,(RE)EVOLUTION VOL. 2,24,1556883,False,0.528,0.78,2,-5.549,1,0.121,0.0277,0.0168,0.185,0.329,125.065,4,dub,duration_over_20_minutes_review
29687,3EEJ63VT1FN3sQod8vd4e8,Dirt Monkey,(RE)EVOLUTION VOL. 2,(RE)EVOLUTION VOL. 2,24,1556883,False,0.528,0.78,2,-5.549,1,0.121,0.0277,0.0168,0.185,0.329,125.065,4,dubstep,duration_over_20_minutes_review
34276,06RHS37mDLAKMaSaMx1uQ8,Nusrat Fateh Ali Khan,The Very Best of Nusrat Fateh Ali Khan - Top 50 Essentials,Yeh Jo Halka Halka Suroor Hai,41,1394442,False,0.519,0.587,3,-13.639,1,0.0601,0.392,0.0,0.631,0.822,137.812,4,folk,duration_over_20_minutes_review
34415,3K2U5XjczEXKxlY1i1WSj6,Nusrat Fateh Ali Khan,Best Urdu Qawwalies,Tum Ek Gorakh Dhanda Ho,40,1817447,False,0.535,0.764,6,-6.867,1,0.0726,0.381,0.0,0.318,0.823,107.729,4,folk,duration_over_20_minutes_review
34504,7v5q8I9T7BJxcKOJRTQLzG,Nusrat Fateh Ali Khan,Best of Ustad Nusrat Fateh Ali Khan,Sanson Ki Mala Pe,38,1800520,False,0.481,0.567,11,-9.486,0,0.034,0.513,1.37e-05,0.346,0.845,141.63,3,folk,duration_over_20_minutes_review
34715,2dJvq5WBUzEao6Qs05Qjbj,Divya Kumar;Priya Saraiya;Ishani Dave;Jigardhan Gadhvi,Chalo Ramiye - Non Stop Garba,Chalo Ramiye - Non Stop Garba,34,1803568,False,0.417,0.802,0,-4.848,0,0.107,0.116,0.0,0.0754,0.634,146.794,4,folk,duration_over_20_minutes_review
34911,5PjqyZ3iFTaQgfSkbIOY1G,Nusrat Fateh Ali Khan,Best of Ustad Nusrat Fateh Ali Khan,Haq Ali Ali Maula,36,1749173,False,0.465,0.815,3,-8.362,0,0.0684,0.558,0.00227,0.856,0.891,107.492,4,folk,duration_over_20_minutes_review
41486,0imibEEte3feHb2duTCsrN,Håkan Hellström,Ett kolikbarns bekännelser,Vaggvisa för flyktbenägna,25,1335413,False,0.405,2.02e-05,11,-8.586,1,0.0488,0.566,0.0869,0.114,0.159,118.088,4,goth,duration_over_20_minutes_review
45063,0PINNy1r5eEILOuHpnjl5d,Estas Tonne,Internal Flight (Remastered),Internal Flight (Remastered),47,3876276,False,0.3,0.64,4,-9.266,0,0.0367,0.946,0.893,0.0783,0.212,159.624,4,guitar,duration_over_20_minutes_review
45670,6B9Mgf9smWqxDjA35VD6MK,Little Symphony,Rialto Beach,Campomoro,22,148711,False,0.0,0.00108,0,-30.204,1,0.0,0.952,0.991,0.242,0.0,0.0,0,guitar,tempo_nonpositive_review; time_signature_zero_review
45720,7i5OoyPXtSrqz9jobJfG1F,Little Symphony,Rialto Beach,Ritornello,23,102000,False,0.0,0.00129,7,-29.445,1,0.0,0.969,0.956,0.123,0.0,0.0,0,guitar,tempo_nonpositive_review; time_signature_zero_review
45729,0pTAEdockvKVSq1hhFqk7O,Little Symphony,Rialto Beach,Amager,22,133624,False,0.0,0.004,0,-28.326,1,0.0,0.97,0.959,0.109,0.0,0.0,0,guitar,tempo_nonpositive_review; time_signature_zero_review
45773,1keWmyG6qyBbMagPBdgUKr,Little Symphony,Rialto Beach,Ionian,22,93125,False,0.0,0.0268,7,-30.1,1,0.0,0.964,0.993,0.124,0.0,0.0,0,guitar,tempo_nonpositive_review; time_signature_zero_review
45900,0nRYzhGf1B9Fc0riFM7KiQ,Estas Tonne,Internal Flight,Internal Flight,34,3876276,False,0.316,0.614,4,-9.397,0,0.0406,0.93,0.871,0.0775,0.19,159.791,4,guitar,duration_over_20_minutes_review
54657,11fyxMVM9AZRGNZLSbCdfA,KASHIWA Daisuke,April.#02 (Live),April.#2 - Live,11,1664000,False,0.295,0.483,0,-8.233,0,0.0414,0.467,0.827,0.17,0.128,101.966,4,idm,duration_over_20_minutes_review
54755,7FZzHVBVdww1P5ZG3QHM5Q,alva noto;Ryuichi Sakamoto,Glass,Glass,10,2218626,False,0.199,0.289,9,-17.806,0,0.0384,0.732,0.573,0.126,0.0343,61.14,4,idm,duration_over_20_minutes_review
55499,1C2MHvFmeoFpExBtWOiQ4Z,M. S. Subbulakshmi,Sri Venkatesa Suprabhatham,Sri Venkateshwara Suprabhatham,48,1240944,False,0.605,0.408,7,-7.678,1,0.495,0.955,0.0,0.419,0.798,85.498,3,indian,duration_over_20_minutes_review
55595,42vD6luOTR1WtATGz1zns9,Soolamangalam Sisters,Sri Skandha Guru Kavasam,Skandha Sashti Kavacham,46,1223800,False,0.677,0.351,2,-16.101,0,0.0509,0.838,0.0,0.0978,0.706,117.443,4,indian,duration_over_20_minutes_review
55949,0syWP6hExPrVVfq8yVL0oa,Priya Sisters,Lalitha Pancharatnam,Lalitha Sahasranama Sthothram,43,1755311,False,0.54,0.438,9,-8.409,1,0.0765,0.815,0.0,0.388,0.777,89.848,1,indian,duration_over_20_minutes_review
59221,5BcyxCXrXuw4vsAqAiObWM,Leila Bela,Angra Manyu,Yes! No! I Mean Yes! No I Don't!,0,38333,False,0.0,0.572,8,-16.286,1,0.0,0.872,0.000175,0.119,0.0,0.0,0,iranian,tempo_nonpositive_review; time_signature_zero_review
59246,5PCcaOGkfqqRIsJzFMz57g,Kiawasch Sahebnassagh,Zarman,"TEN #9+1:For Clarinet,Bass Clarinet,Saxophone Alto,2 Horns,Harp,2 Violins,Viola and Cello,Ensemble Zeitfluss",0,1512600,False,0.156,0.157,1,-19.52,1,0.0396,0.958,0.29,0.97,0.0369,74.34,4,iranian,duration_over_20_minutes_review
59310,6hsyfegVY5yklJneM40mWi,Leila Bela,Angra Manyu,The Exorsism Begins...,0,8586,False,0.0,0.04,8,-29.714,0,0.0,0.928,0.956,0.115,0.0,0.0,0,iranian,tempo_nonpositive_review; time_signature_zero_review
59350,00YTxvwAzd8SfrXdBQU1yZ,Ali Ostovar;Hani Mojtahedy;Shahram Mohamadi,Lalai,Lalai,1,1482242,True,0.148,0.447,5,-16.201,1,0.105,0.921,0.142,0.113,0.0678,74.969,3,iranian,duration_over_20_minutes_review
59473,48Nt8u7kYSTwE6axtE9hJO,Leila Bela,Angra Manyu,Leaving Her Quantum Journey Behind...,0,50186,False,0.0,0.0314,5,-28.194,0,0.0,0.723,6.67e-05,0.129,0.0,0.0,0,iranian,tempo_nonpositive_review; time_signature_zero_review
59508,5F9k1a45FXck5UsbUi1McT,Crows in the Rain,Ashes of the Past,For The World That Sounds Like It's Meaning,3,1234657,False,0.247,0.408,7,-12.522,0,0.0376,0.151,0.703,0.242,0.0435,139.765,4,iranian,duration_over_20_minutes_review
59672,6THY6q592kDcv6smBb05gg,Pé,Inherited Heteronomous Perception,inherited heteronomous perception,0,1331839,False,0.16,0.00246,7,-17.021,1,0.0506,0.612,0.463,0.261,0.023,129.342,4,iranian,duration_over_20_minutes_review
59803,5KSapJotajTcHPTWfPDT94,Crows in the Rain,You Are Dying in My Arms (the Frozen Last Gasps),Chapter V - I'll See You In Elysium,5,1268000,False,0.403,0.134,7,-23.776,0,0.0421,0.995,0.874,0.0961,0.0388,120.132,4,iranian,duration_over_20_minutes_review
59812,38Ogh3rsHba83kXx13gbKs,Leila Bela,Angra Manyu,V-4,0,13386,False,0.0,0.224,11,-22.196,1,0.0,0.97,0.0,0.907,0.0,0.0,0,iranian,tempo_nonpositive_review; time_signature_zero_review
59843,5UVhiRDRO66p5ZrbNAyCpH,Idin Samimi Mofakham,Concertos,Holography (Concerto for Piano and Orchestra),0,1339977,False,0.164,0.259,4,-16.207,1,0.0377,0.696,0.533,0.122,0.035,86.187,4,iranian,duration_over_20_minutes_review
59844,6MnSyZZwLhpcpvQuOyvKES,Zhoobin Askarieh;Ali Sasha,Beyond Tribes,Beyond Tribes Pt. 1,0,1937632,False,0.302,0.692,9,-15.026,1,0.54,0.538,0.0533,0.105,0.177,175.989,4,iranian,duration_over_20_minutes_review
64826,63kd4m3VFxcJjPVVtbVNAu,Louis Armstrong,"Hello, Dolly! (Remastered)","Hello, Dolly!",62,147000,False,0.0,0.405,0,-9.935,1,0.0,0.842,0.00114,0.198,0.0,0.0,0,jazz,tempo_nonpositive_review; time_signature_zero_review
64875,4eHVTOPQkFwoCdO9bkWgeK,Friðrik Karlsson,Móðir og barn,Nýtt líf,37,1203490,False,0.509,0.0715,1,-22.005,1,0.0362,0.978,0.734,0.106,0.0386,119.85,4,jazz,duration_over_20_minutes_review
65475,3oj9ZcytkTaovswquxjzo1,Anuradha Paudwal,Gayatri Mantra,Om Bhurbhuwasah,53,3340672,False,0.719,0.466,3,-9.153,1,0.0417,0.733,1.81e-06,0.0973,0.812,137.159,4,k-pop,duration_over_20_minutes_review
65553,5i5uxOKfjnMA2Yl3Sbke6D,Jagjit Singh,Hey Ram Hey Ram,Hey Ram Hey Ram Shree Ram Dhun,49,1613160,False,0.586,0.411,0,-11.425,1,0.0249,0.741,0.0,0.176,0.683,91.57,4,k-pop,duration_over_20_minutes_review
65744,7CCGHQ9FNc6Ejh9nhy8bGh,Anuradha Paudwal,Shiv Amritwani,Shiv Amritwani,47,2957840,False,0.598,0.623,6,-7.399,0,0.0817,0.817,0.0,0.0538,0.935,143.031,4,k-pop,duration_over_20_minutes_review
65876,4mfj6ay93WO3lvTZ3jXYIR,Anuradha Paudwal,Shri Swami Samarth Taarkmantra,Niah Shank Hoi Re Mana,45,1345998,False,0.582,0.572,10,-7.739,1,0.0353,0.606,0.0,0.0905,0.812,156.966,3,k-pop,duration_over_20_minutes_review
65900,1kR4gIb7nGxHPI3D2ifs59,,,,0,0,False,0.501,0.583,7,-9.46,0,0.0605,0.69,0.00396,0.0747,0.734,138.391,4,k-pop,duration_nonpositive
69935,6i2eqMDQxBNSyRHJD0q0MJ,Immanuel Henry,Hits of Immanuel Henry - Single,Hits Of Immanuel Henry,4,2851109,False,0.382,0.716,0,-5.812,1,0.0497,0.22,0.0,0.377,0.494,119.809,3,malay,duration_over_20_minutes_review
73617,3Cnz3Bu9Wcw8p3kiBTXTxp,Tale Of Us,Unity (Voyage Mix),Unity (Voyage Mix) Pt. 1,35,5237295,False,0.695,0.736,5,-11.371,0,0.0374,0.00399,0.86,0.091,0.0509,124.001,4,minimal-techno,duration_over_20_minutes_review
73840,6JbQr97EMFD2D3Ek6gxgt1,Loco Dice,Amnesia Ibiza - Underground 10,Amnesia Ibiza Underground 10 DJ Mix,17,4563897,False,0.783,0.728,10,-10.176,0,0.0612,0.00158,0.84,0.158,0.189,125.044,4,minimal-techno,duration_over_20_minutes_review
75334,6Oephcg5HwzT4xDM7BcVsf,Paul Cardall,Sleep,Sleep NREM Stage 1,23,1292194,False,0.215,0.068,2,-19.437,1,0.034,0.952,0.869,0.0994,0.0463,68.434,4,new-age,duration_over_20_minutes_review
75519,2YaTch92r8xyQNUEoBhxk8,Paul Cardall,Sleep,Sleep NREM Stage 3,22,1231214,False,0.0652,0.134,2,-23.203,1,0.0372,0.826,0.778,0.108,0.0448,64.258,4,new-age,duration_over_20_minutes_review
75768,7ERSQrRptZVM7q3VOdM7OL,Mike Oldfield,Tubular Bells,Tubular Bells - Pt. I,50,1561133,False,0.374,0.219,4,-19.104,0,0.0343,0.564,0.56,0.114,0.0579,103.535,4,new-age,duration_over_20_minutes_review
76259,5s4sjLD7BUMrRvwFLSDUUC,Josh Groban,Illuminations,Você Existe Em Mim,24,305786,False,0.225,0.716,6,-6.131,1,0.0669,0.215,2.87e-05,0.0986,0.136,153.274,0,opera,time_signature_zero_review
76716,7KHG8MHzxAv0YnLFBWY9Y1,Jean-Baptiste Lully;Mary Enid Haines;Sharla Nafziger;Aradia Ensemble;Kevin Mallon,Lully: Ballet Music for the Sun King,"Le bourgeois gentilhomme: Chaconne des Scaramouches, Frivelins et Arlequins",51,88160,False,0.0,0.0192,6,-28.821,1,0.0,0.936,0.0197,0.138,0.0,0.0,0,opera,tempo_nonpositive_review; time_signature_zero_review
76736,0q0r8JVp4dPZBbmBUsqsgO,Georges Bizet;Maria Callas;Nicolai Gedda;Orchestre de l'Opéra National de Paris;Georges Prêtre;Orchestre du Théâtre National de l'Opéra Paris;Paris Opera Orchestra,Bizet: Carmen,"Carmen (1997 - Remaster), Act I: Quels regardes! Quelle effronterie!",22,55693,False,0.0,0.172,3,-21.578,1,0.0,0.945,8.33e-05,0.85,0.0,0.0,0,opera,tempo_nonpositive_review; time_signature_zero_review
78385,1PcyypJ70gm6CxTKQvCQiX,Michael Wendler,Der ultimative Wendler Hitmix,Der ultimative Wendler Hitmix XL,30,2959346,False,0.608,0.919,10,-4.071,1,0.036,0.05,5.11e-05,0.139,0.727,130.559,4,party,duration_over_20_minutes_review
79999,4gHZlq1u5m89HP96BT3QHk,Dave Brubeck,A Dave Brubeck Christmas,"""Farewell"" Jingle Bells",29,179400,False,0.444,0.00402,2,-35.904,0,0.075,0.996,0.908,0.0599,0.0385,90.026,0,piano,time_signature_zero_review
84158,7kriFJLY2KOhw5en9iI2jb,Pink Floyd,Meddle,Echoes,57,1412451,False,0.285,0.322,6,-16.58,0,0.0445,0.367,0.649,0.107,0.138,133.577,4,psych-rock,duration_over_20_minutes_review
89998,5b4ja1psqZ59QnyrdwudFW,Ronald Borjas;Nando de la Gente;Adelmo Gauna,"Los Pikis Exitos de Salsa Erótica, Vol. 2","Los Pikis Exitos de Salsa Erótica, Vol. 2",40,1534315,False,0.554,0.825,0,-5.457,1,0.0728,0.342,0.0,0.152,0.848,91.464,4,reggaeton,duration_over_20_minutes_review
93111,1JihKsZjTyaqh0sPpOJqxW,Maya Kristalinskaya,Поёт Майя Кристалинская (Remastered),Три товарища - Remastered,26,122206,False,0.0,0.122,7,-20.512,0,0.0,0.987,0.324,0.824,0.0,0.0,0,romance,tempo_nonpositive_review; time_signature_zero_review
95083,5b4ja1psqZ59QnyrdwudFW,Ronald Borjas;Nando de la Gente;Adelmo Gauna,"Los Pikis Exitos de Salsa Erótica, Vol. 2","Los Pikis Exitos de Salsa Erótica, Vol. 2",40,1534315,False,0.554,0.825,0,-5.457,1,0.0728,0.342,0.0,0.152,0.848,91.464,4,salsa,duration_over_20_minutes_review
98298,5Xc02eNu16HWnhEsyJKusZ,Heidi Blickenstaff;Susan Blackwell,[title of show] (Soundtrack From The Musical),Secondary Characters,28,145400,False,0.605,0.383,0,-7.241,1,0.0643,0.801,0.0,0.154,0.364,111.371,0,show-tunes,time_signature_zero_review
98779,2ObXcpK0NlkbEpjLXHZJn4,Daniel Radcliffe;Rose Hemingway;Christopher J. Hanke,How To Succeed In Business Without Really Trying,Act One Finale,21,95280,False,0.0,0.322,7,-8.901,1,0.0,0.757,0.0,0.284,0.0,0.0,0,show-tunes,tempo_nonpositive_review; time_signature_zero_review
